Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000033,Male,Yes,0,Graduate,No,3468,1577,9,300,,Urban,N
LP000034,Female,No,2,Graduate,No,6841,0,9,180,1.0,Urban,Y
LP000035,Female,No,0,Graduate,No,3891,0,9,360,1.0,Semiurban,Y
LP000036,Female,Yes,0,Graduate,No,5772,1702,9,360,1.0,Urban,Y
LP000037,Male,Yes,0,Graduate,No,3943,2824,9,300,0.0,Urban,N
LP000038,Male,Yes,0,Graduate,No,6685,960,9,180,1.0,Rural,Y
LP000039,Male,Yes,0,Graduate,No,4077,2346,9,36,1.0,Rural,Y
LP000040,Male,No,0,Not Graduate,No,2810,0,9,360,1.0,Urban,Y
LP000041,Male,Yes,1,Graduate,No,11654,1232,9,360,1.0,Semiurban,Y
LP000042,Male,Yes,0,Graduate,No,5081,1834,9,360,1.0,Rural,Y
LP000043,Male,Yes,1,Graduate,No,4205,742,9,180,0.0,Urban,Y
LP000044,Female,Yes,2,Graduate,No,1386,1548,9,360,1.0,Urban,Y
LP000045,Male,Yes,2,Graduate,No,1376,1935,9,360,1.0,Urban,N
LP000046,Male,Yes,0,Graduate,No,3553,1565,9,84,,Semiurban,Y
LP000047,Male,Yes,0,Graduate,No,3252,592,9,360,0.0,Urban,N
LP000048,Male,No,0,Not Graduate,No,2062,0,9,300,1.0,Rural,Y
LP000049,Male,Yes,0,Graduate,,3244,4314,9,360,1.0,Semiurban,Y
LP000050,Male,Yes,3+,Graduate,Yes,7732,1917,9,300,1.0,Semiurban,Y
LP000051,Female,Yes,0,Not Graduate,No,4524,2891,,360,1.0,Urban,Y
LP000052,Male,Yes,0,Graduate,No,1503,1108,9,240,1.0,Semiurban,Y
LP000053,Female,Yes,1,Graduate,No,2788,2440,9,120,1.0,Semiurban,Y
LP000054,Female,Yes,1,Graduate,No,1839,1674,9,360,1.0,Rural,Y
LP000055,Male,Yes,0,Graduate,Yes,2362,625,9,360,0.0,Rural,Y
LP000056,Female,Yes,0,Graduate,No,2325,1728,9,360,1.0,Semiurban,Y
LP000057,Male,Yes,0,Graduate,No,2238,605,9,360,1.0,Rural,Y
LP000058,Male,No,0,Not Graduate,No,1403,0,9,240,1.0,Rural,N
LP000059,Male,Yes,0,Graduate,No,2761,1558,9,360,,Rural,Y
LP000060,Male,Yes,0,Graduate,No,2129,1699,9,360,0.0,Urban,N
LP000061,Male,Yes,0,Graduate,Yes,514,517,9,,0.0,Urban,N
LP000062,Male,No,0,Graduate,No,10216,0,9,300,0.0,Urban,Y
LP000063,Female,Yes,0,Graduate,No,5728,2116,9,480,,Semiurban,N
LP000064,Male,Yes,0,Graduate,No,2378,762,9,360,1.0,Semiurban,Y
LP000065,Male,No,0,Not Graduate,No,3014,0,9,360,1.0,Semiurban,Y
LP000066,Male,No,1,Graduate,Yes,1475,0,9,360,1.0,Rural,Y
LP000067,Male,No,2,Graduate,No,8245,0,9,360,0.0,Rural,Y
LP000068,Female,Yes,0,Graduate,No,9305,1466,9,360,0.0,Rural,N
LP000069,Male,Yes,0,Graduate,No,3274,1001,9,360,1.0,Urban,Y
LP000070,Female,No,0,Not Graduate,No,5508,0,9,360,1.0,Semiurban,Y
LP000071,Male,No,1,Not Graduate,No,3311,0,9,360,1.0,Urban,N
LP000072,Male,Yes,1,Graduate,No,1336,1048,9,360,,Urban,Y
LP000073,Male,Yes,0,Graduate,Yes,2328,2223,9,360,1.0,Urban,Y
LP000074,Female,Yes,3+,Graduate,No,3226,766,9,360,1.0,Urban,Y
LP000075,Male,No,0,Not Graduate,No,2269,0,9,180,1.0,Semiurban,Y
LP000076,Male,Yes,0,Graduate,No,2614,290,9,180,1.0,Rural,Y
LP000077,Male,Yes,1,Graduate,No,2821,3823,9,360,,Urban,Y
LP000078,Male,Yes,2,Graduate,Yes,2839,1119,9,360,1.0,Semiurban,Y
LP000079,Male,Yes,1,Graduate,No,3075,2664,9,180,0.0,Semiurban,N
LP000080,Male,Yes,2,Graduate,No,1577,1427,9,480,1.0,Urban,Y
LP000081,Female,Yes,0,Graduate,No,1938,3333,9,360,1.0,Semiurban,Y
LP000082,Male,Yes,2,Graduate,No,1379,982,9,360,1.0,Urban,Y
LP000083,Male,Yes,0,Not Graduate,No,5359,556,9,360,0.0,Semiurban,N
LP000084,Male,Yes,2,Graduate,No,842,4173,9,360,1.0,Semiurban,Y
LP000085,Male,Yes,,Graduate,No,5955,1223,9,360,1.0,Urban,Y
LP000086,Male,Yes,2,Graduate,No,6848,1599,9,,1.0,Urban,Y
LP000087,Male,Yes,0,Graduate,No,2486,3596,9,360,,Semiurban,Y
LP000088,Male,,1,Graduate,No,625,586,,360,1.0,Rural,N
LP000089,Female,Yes,0,Graduate,Yes,2399,2156,9,360,0.0,Urban,Y
LP000090,Male,Yes,1,Graduate,No,2868,835,,360,1.0,Semiurban,Y
LP000091,Male,Yes,0,Graduate,Yes,1625,1205,9,360,1.0,Semiurban,Y
LP000092,Male,No,0,Graduate,No,2188,0,9,,1.0,Rural,Y
LP000093,Male,Yes,0,Graduate,No,7466,403,9,360,1.0,Rural,Y
LP000094,Male,No,0,Not Graduate,Yes,4442,0,9,240,1.0,Semiurban,Y
LP000095,Male,Yes,2,Graduate,No,1711,3947,9,360,1.0,Semiurban,Y
LP000096,Male,No,0,Not Graduate,Yes,1143,0,9,180,1.0,Rural,Y
LP000097,Male,No,3+,Graduate,No,2449,0,9,120,,Semiurban,N
LP000098,Male,Yes,0,Graduate,No,2622,1627,9,360,1.0,Urban,Y
LP000099,Male,Yes,0,Graduate,Yes,4014,1058,9,360,0.0,Urban,Y
LP000100,Male,Yes,2,Graduate,No,2162,3965,9,360,1.0,Rural,Y
LP000101,Male,Yes,1,Not Graduate,No,4051,1141,9,240,1.0,Rural,Y
LP000102,Male,No,,Graduate,No,9519,0,9,120,1.0,Urban,Y
LP000103,Male,No,0,Not Graduate,Yes,4862,0,9,180,1.0,Semiurban,Y
LP000104,Male,No,1,Graduate,No,2896,0,9,360,1.0,Semiurban,Y
LP000105,Female,Yes,0,Graduate,No,2670,4661,9,360,1.0,Urban,Y
LP000106,Male,No,3+,Graduate,No,2406,0,9,360,1.0,Rural,Y
LP000107,Male,No,3+,Graduate,Yes,6053,0,9,360,1.0,Urban,Y
LP000108,Male,Yes,1,Graduate,Yes,2045,994,9,360,,Urban,N
LP000109,Male,Yes,0,Graduate,No,3062,1103,9,360,0.0,Semiurban,Y
LP000110,Male,No,1,Graduate,No,3073,0,9,180,1.0,Semiurban,Y
LP000111,Male,Yes,0,Graduate,No,2205,930,9,360,1.0,Urban,Y
LP000112,Male,No,0,Graduate,No,1308,0,9,360,1.0,Semiurban,Y
LP000113,Female,Yes,0,Not Graduate,No,3618,823,9,360,1.0,Semiurban,Y
LP000114,Female,No,0,Not Graduate,No,2873,0,9,300,1.0,Urban,Y
LP000115,Male,Yes,2,Graduate,No,4024,2881,9,180,1.0,Urban,Y
LP000116,Female,Yes,,Graduate,No,2164,1581,9,360,1.0,Semiurban,Y
LP000117,Female,Yes,2,Graduate,No,6201,1713,9,360,1.0,Urban,Y
LP000118,Male,No,0,Not Graduate,No,1761,0,9,360,1.0,Rural,Y
LP000119,Female,No,0,Graduate,No,8326,0,9,120,0.0,Rural,Y
LP000120,Male,Yes,0,Graduate,No,1044,5647,9,360,0.0,Rural,Y
LP000121,Female,Yes,3+,Not Graduate,No,3869,743,9,360,1.0,Urban,Y
LP000122,Female,No,0,Graduate,No,3964,0,9,360,,Rural,Y
LP000123,Male,Yes,2,Graduate,No,1849,1102,9,360,,Semiurban,Y
LP000124,Male,No,1,Graduate,No,3845,0,9,300,1.0,Urban,Y
LP000125,Male,Yes,0,Graduate,Yes,6423,3153,9,360,1.0,Urban,Y
LP000126,Male,Yes,1,Graduate,No,788,3705,9,360,1.0,Urban,Y
LP000127,Female,Yes,0,Graduate,No,4030,1225,9,360,,Semiurban,Y
LP000128,Female,Yes,2,Graduate,No,667,981,9,,,Semiurban,Y
LP000129,Male,No,3+,Graduate,No,1670,0,9,120,1.0,Urban,Y
LP000130,Male,Yes,0,Not Graduate,No,7922,1755,9,360,1.0,Semiurban,Y
LP000131,Male,Yes,0,Graduate,Yes,2102,2732,9,300,1.0,Urban,Y
LP000132,Male,No,1,Graduate,No,1473,0,,180,1.0,Semiurban,Y
LP000133,Male,Yes,3+,Graduate,No,2647,2197,9,360,1.0,Urban,Y
LP000134,Male,Yes,0,Not Graduate,No,10308,4967,9,360,,Rural,N
LP000135,Female,No,1,Graduate,No,993,0,9,360,1.0,Rural,Y
LP000136,Male,Yes,1,Graduate,No,1586,1718,9,180,0.0,Semiurban,N
LP000137,,Yes,1,Not Graduate,No,7320,397,9,360,,Urban,N
LP000138,Male,No,0,Not Graduate,No,9087,0,9,360,0.0,Urban,Y
LP000139,Male,Yes,1,Graduate,No,2801,1827,9,360,1.0,Rural,Y
LP000140,Female,Yes,3+,Not Graduate,No,1417,1241,9,180,1.0,Urban,Y
LP000141,Female,Yes,0,Graduate,No,10482,887,9,360,1.0,Urban,Y
LP000142,Male,No,0,Graduate,No,7759,0,9,360,1.0,Urban,Y
LP000143,Male,Yes,3+,Graduate,No,4479,1276,9,360,1.0,Semiurban,Y
LP000144,Male,Yes,0,Graduate,Yes,1830,3301,9,360,1.0,Semiurban,Y
LP000145,Male,No,2,Graduate,No,2894,0,9,300,1.0,Rural,Y
LP000146,Male,No,0,Graduate,Yes,2707,0,9,360,1.0,Urban,Y
LP000147,Male,Yes,0,Graduate,No,3635,2957,9,300,1.0,Semiurban,Y
LP000148,Male,Yes,,Graduate,No,7119,1125,9,360,1.0,Rural,Y
LP000149,Male,Yes,0,Graduate,Yes,5052,2041,9,360,0.0,Rural,N
LP000150,Male,No,0,Graduate,No,1561,0,9,360,0.0,Semiurban,Y
LP000151,Female,Yes,0,Graduate,Yes,6808,796,9,360,1.0,Semiurban,Y
LP000152,Male,Yes,1,Graduate,No,3597,1432,9,360,1.0,Urban,Y
LP000153,Male,No,0,Graduate,No,4501,0,9,360,1.0,Rural,Y
LP000154,Male,No,0,Graduate,Yes,7186,0,9,360,1.0,Urban,Y
LP000155,Female,,3+,Not Graduate,No,1530,1080,9,360,1.0,Rural,Y
LP000156,Male,No,0,Graduate,Yes,2917,0,9,360,,Semiurban,N
LP000157,Male,Yes,1,Graduate,No,2167,947,,240,1.0,Semiurban,Y
LP000158,Male,No,0,Graduate,No,1163,0,9,360,1.0,Urban,Y
LP000159,Male,Yes,,Graduate,No,3670,1055,9,360,1.0,Semiurban,Y
LP000160,Male,Yes,0,Graduate,Yes,13452,1099,9,360,1.0,Semiurban,Y
LP000161,Male,No,3+,Not Graduate,No,988,0,9,180,1.0,Urban,Y
LP000162,Male,,0,Graduate,No,2923,757,9,180,1.0,Semiurban,Y
LP000163,Male,Yes,0,Graduate,No,4377,389,9,360,1.0,Rural,Y
LP000164,Male,No,0,Graduate,No,3209,0,9,240,1.0,Semiurban,Y
LP000165,Male,No,0,Graduate,No,2785,0,9,360,1.0,Semiurban,Y
LP000166,Female,Yes,0,Graduate,No,1367,618,9,360,1.0,Urban,Y
LP000167,Male,No,0,Graduate,No,3427,0,9,240,1.0,Semiurban,Y
LP000168,Male,Yes,2,Graduate,No,1893,1984,9,240,,Urban,N
LP000169,Male,Yes,0,Graduate,No,801,1329,9,360,1.0,Semiurban,Y
LP000170,,Yes,0,Graduate,No,6104,1712,9,300,1.0,Rural,Y
LP000171,Male,Yes,1,Not Graduate,Yes,5297,5714,9,360,1.0,Semiurban,Y
LP000172,Male,No,1,Graduate,No,3074,0,9,300,1.0,Urban,N
LP000173,Male,Yes,0,Graduate,No,3420,1673,9,360,1.0,Urban,Y
LP000174,Male,Yes,0,Graduate,No,5679,891,9,360,1.0,Semiurban,Y
LP000175,Male,Yes,0,Graduate,No,3410,680,9,360,0.0,Semiurban,Y
LP000176,Male,No,1,Not Graduate,No,5127,0,9,360,1.0,Rural,Y
LP000177,Male,Yes,1,Graduate,Yes,2493,913,9,360,1.0,Rural,Y
LP000178,Male,Yes,0,Graduate,No,6549,1785,9,360,1.0,Semiurban,Y
LP000179,Female,Yes,2,Not Graduate,No,3613,8771,9,360,,Semiurban,Y
LP000180,Male,Yes,2,Graduate,No,3349,755,9,360,1.0,Urban,Y
LP000181,Male,Yes,1,Not Graduate,No,1391,959,9,360,1.0,Urban,Y
LP000182,Male,No,2,Graduate,No,3541,0,9,360,1.0,Urban,Y
LP000183,Female,No,0,Graduate,No,1809,0,9,360,1.0,Semiurban,Y
LP000184,Female,Yes,0,Graduate,No,2032,1653,9,180,1.0,Semiurban,Y
LP000185,Male,No,,Graduate,No,1827,0,9,240,1.0,Semiurban,Y
LP000186,Male,No,0,Not Graduate,Yes,1572,0,9,180,1.0,Urban,Y
LP000187,Female,No,0,Graduate,No,10666,0,9,360,1.0,Semiurban,Y
LP000188,Male,Yes,3+,Graduate,No,6626,900,,180,1.0,Urban,Y
LP000189,Male,Yes,0,Graduate,Yes,9435,3222,9,360,1.0,Urban,Y
LP000190,Male,Yes,0,Graduate,No,1431,382,9,360,,Rural,N
LP000191,Male,Yes,0,Graduate,No,3111,120,,360,1.0,Urban,Y
LP000192,Female,No,3+,Not Graduate,No,1371,0,9,300,1.0,Semiurban,Y
LP000193,Female,No,0,Graduate,No,1963,0,9,360,1.0,Urban,Y
LP000194,Male,No,0,Graduate,No,1718,0,9,360,1.0,Rural,N
LP000195,Male,Yes,0,Graduate,No,6271,608,9,360,0.0,Semiurban,Y
LP000196,Male,Yes,0,Graduate,No,2350,616,9,300,1.0,Urban,Y
LP000197,Male,No,3+,Graduate,No,5659,0,9,360,1.0,Semiurban,Y
LP000198,Female,No,3+,Graduate,Yes,4283,0,9,360,1.0,Semiurban,Y
LP000199,Female,Yes,0,Not Graduate,No,11874,1988,9,360,1.0,Rural,Y
LP000200,Male,No,3+,Graduate,No,1227,0,9,360,1.0,Urban,Y
LP000201,Male,No,1,Graduate,No,6345,0,9,,1.0,Rural,Y
LP000202,Male,Yes,2,Graduate,No,5930,544,9,360,1.0,Rural,Y
LP000203,Male,Yes,0,Not Graduate,No,1662,1091,9,300,0.0,Rural,N
LP000204,Female,Yes,,Graduate,No,5454,870,9,360,1.0,Semiurban,Y
LP000205,Male,Yes,0,Graduate,No,3647,2535,9,360,0.0,Semiurban,N
LP000206,Male,Yes,1,Graduate,No,2600,302,9,360,0.0,Semiurban,Y
LP000207,Male,,0,Graduate,No,1818,0,9,360,0.0,Rural,Y
LP000208,Male,Yes,0,Graduate,No,1936,2093,9,360,1.0,Semiurban,Y
LP000209,Male,Yes,0,Graduate,No,10197,5915,9,360,1.0,Semiurban,Y
LP000210,Male,Yes,,Graduate,No,2982,911,9,360,0.0,Semiurban,Y
LP000211,Male,Yes,0,Graduate,Yes,4766,1736,9,180,1.0,Semiurban,Y
LP000212,Male,No,1,Not Graduate,No,1854,0,9,360,1.0,Rural,Y
LP000213,Male,Yes,3+,Not Graduate,No,1867,197,9,360,,Urban,N
LP000214,Male,Yes,0,Graduate,No,5705,2632,9,300,,Rural,Y
LP000215,Male,No,1,Graduate,No,1326,0,9,360,1.0,Semiurban,Y
LP000216,Male,Yes,0,Graduate,No,2323,3438,9,180,1.0,Rural,Y
LP000217,Male,Yes,2,Graduate,No,3042,446,9,360,1.0,Semiurban,Y
LP000218,Male,Yes,0,Graduate,No,3186,2030,9,360,0.0,Semiurban,Y
LP000219,Male,Yes,1,Graduate,No,2677,5973,9,300,,Rural,N
LP000220,Female,Yes,2,Graduate,No,3780,1873,9,360,1.0,Urban,Y
LP000221,Male,Yes,3+,Not Graduate,No,4517,1671,9,360,1.0,Rural,Y
LP000222,Male,Yes,1,Graduate,Yes,4632,1348,9,180,,Semiurban,Y
LP000223,Male,No,0,Graduate,Yes,1649,0,9,360,1.0,Semiurban,Y
LP000224,Male,Yes,1,Not Graduate,No,2513,3961,9,360,1.0,Urban,Y
LP000225,Male,Yes,2,Graduate,No,6104,821,9,360,,Semiurban,Y
LP000226,Male,Yes,1,Graduate,No,5098,2005,9,300,1.0,Urban,Y
LP000227,Female,Yes,0,Graduate,Yes,1308,383,9,120,1.0,Urban,Y
LP000228,Male,No,3+,Graduate,No,3680,0,9,360,1.0,Urban,Y
LP000229,Female,Yes,1,Graduate,No,909,4222,9,360,1.0,Urban,Y
LP000230,Male,No,1,Graduate,Yes,3066,0,9,240,0.0,Rural,N
LP000231,Male,Yes,0,Graduate,Yes,9308,4283,9,360,1.0,Rural,Y
LP000232,Male,Yes,1,Not Graduate,No,1687,1258,9,360,,Semiurban,Y
LP000233,Male,Yes,0,Not Graduate,No,1806,306,9,180,1.0,Semiurban,Y
LP000234,Male,No,1,Not Graduate,No,4714,0,9,300,1.0,Urban,Y
LP000235,Male,Yes,0,Graduate,No,1181,835,9,300,1.0,Semiurban,N
LP000236,Male,Yes,1,Graduate,No,2039,2342,9,360,1.0,Rural,Y
LP000237,Male,Yes,3+,Not Graduate,Yes,4263,1366,9,360,1.0,Rural,Y
LP000238,Male,No,0,Graduate,No,2037,0,9,360,1.0,Semiurban,Y
LP000239,Male,Yes,3+,Graduate,No,2587,1527,9,360,1.0,Rural,Y
LP000240,Male,No,0,Graduate,No,4658,0,,360,1.0,Urban,Y
LP000241,Female,Yes,2,Graduate,No,3838,1987,9,180,0.0,Rural,Y
LP000242,Female,Yes,2,Not Graduate,No,3498,1279,9,360,1.0,Urban,N
LP000243,Female,Yes,0,Graduate,No,2432,3166,,300,0.0,Semiurban,N
LP000244,Male,Yes,1,Graduate,,3722,1585,9,360,1.0,Semiurban,Y
LP000245,Male,Yes,2,Graduate,No,2767,1583,9,360,1.0,Semiurban,Y
LP000246,Female,Yes,0,Graduate,No,3923,559,9,360,1.0,Urban,Y
LP000247,Male,No,0,Not Graduate,Yes,2212,0,9,360,1.0,Rural,Y
LP000248,Female,Yes,1,Graduate,Yes,2671,3066,9,360,1.0,Urban,Y
LP000249,Female,Yes,2,Graduate,No,1645,686,9,480,0.0,Semiurban,Y
LP000250,Female,Yes,2,Not Graduate,No,2918,4186,9,300,0.0,Urban,Y
LP000251,Male,Yes,2,Graduate,Yes,1832,1244,9,360,1.0,Urban,Y
LP000252,Male,Yes,0,Graduate,,1527,658,9,360,1.0,Semiurban,Y
LP000253,Female,Yes,2,Graduate,Yes,3481,2975,9,120,0.0,Semiurban,Y
LP000254,Male,Yes,0,Not Graduate,No,3386,1064,9,360,1.0,Urban,Y
LP000255,Male,No,0,Graduate,No,4768,0,9,360,0.0,Urban,Y
LP000256,Male,No,0,Graduate,,2301,0,9,360,0.0,Semiurban,N
LP000257,Female,Yes,0,Not Graduate,No,3807,1276,9,120,0.0,Rural,N
LP000258,Male,Yes,0,Graduate,No,4148,1987,9,360,1.0,Rural,Y
LP000259,Male,Yes,0,Not Graduate,Yes,3892,1690,9,360,1.0,Urban,Y
LP000260,Male,Yes,1,Graduate,No,1816,271,9,120,1.0,Semiurban,Y
LP000261,Male,Yes,0,Graduate,No,3260,546,9,360,1.0,Urban,Y
LP000262,Female,Yes,0,Graduate,No,3708,2817,9,360,0.0,Urban,N
LP000263,Male,No,0,Not Graduate,No,2993,0,9,360,1.0,Semiurban,Y
LP000264,Male,No,0,Graduate,Yes,852,0,9,300,1.0,Semiurban,Y
LP000265,Female,Yes,0,Not Graduate,No,3282,451,9,360,,Urban,N
LP000266,Male,Yes,0,Not Graduate,No,11243,564,9,84,0.0,Urban,N
LP000267,Male,Yes,1,Graduate,No,2401,265,9,360,,Urban,Y
LP000268,Male,No,1,Not Graduate,No,1925,0,9,360,0.0,Rural,N
LP000269,Male,Yes,1,Graduate,No,3729,829,9,84,1.0,Rural,Y
LP000270,Male,Yes,,Graduate,No,3595,618,9,360,1.0,Urban,Y
LP000271,Female,No,0,Graduate,Yes,6097,0,9,360,,Urban,Y
LP000272,Female,Yes,2,Not Graduate,No,1401,1792,9,360,1.0,Rural,Y
LP000273,Female,No,0,Graduate,No,4623,0,9,360,1.0,Rural,Y
LP000274,Female,Yes,0,Graduate,No,4248,399,9,360,1.0,Semiurban,Y
LP000275,Male,Yes,0,Graduate,No,2737,3386,9,360,1.0,Urban,Y
LP000276,Male,Yes,0,Graduate,No,3652,2917,9,360,0.0,Urban,N
LP000277,Male,No,0,Graduate,Yes,5528,0,9,300,1.0,Semiurban,N
LP000278,Male,No,0,Not Graduate,No,5031,0,9,360,1.0,Semiurban,Y
LP000279,Male,No,1,Not Graduate,,1501,0,9,84,1.0,Urban,Y
LP000280,Male,Yes,0,Graduate,No,4876,1553,9,360,1.0,Semiurban,Y
LP000281,Female,No,1,Not Graduate,No,2867,0,9,360,1.0,Urban,Y
LP000282,Male,Yes,2,Graduate,No,3114,2174,9,360,1.0,Rural,Y
LP000283,Male,Yes,2,Not Graduate,No,3114,2012,9,360,,Urban,N
LP000284,Male,No,1,Graduate,Yes,2723,0,9,360,1.0,Urban,Y
LP000285,Male,Yes,3+,Graduate,No,6093,408,9,180,1.0,Semiurban,Y
LP000286,Male,Yes,0,Graduate,No,2834,1133,,240,1.0,Semiurban,Y
LP000287,Male,Yes,0,Not Graduate,No,1522,3516,9,60,1.0,Rural,Y
LP000288,Male,Yes,0,Graduate,No,2354,394,9,360,1.0,Semiurban,Y
LP000289,Male,Yes,1,Graduate,No,3318,575,9,240,0.0,Urban,Y
LP000290,Male,Yes,2,Graduate,No,6232,1481,9,360,1.0,Semiurban,Y
LP000291,Male,Yes,0,Graduate,No,4280,609,9,360,0.0,Urban,Y
LP000292,Male,No,3+,Graduate,No,1789,0,9,240,1.0,Rural,Y
LP000293,Female,No,0,Graduate,No,13241,0,9,360,1.0,Semiurban,Y
LP000294,Male,Yes,3+,Not Graduate,No,3494,449,9,360,1.0,Semiurban,Y
LP000295,Male,Yes,0,Graduate,No,6407,614,9,360,,Urban,Y
LP000296,Male,Yes,0,Graduate,No,2721,2351,9,360,1.0,Semiurban,Y
LP000297,Male,Yes,,Graduate,No,4105,470,9,180,1.0,Rural,Y
LP000298,Male,Yes,0,Not Graduate,No,4932,373,9,360,1.0,Rural,Y
LP000299,Male,Yes,0,Not Graduate,No,6191,809,9,36,1.0,Urban,Y
LP000300,Male,Yes,0,Graduate,No,5621,2405,9,360,1.0,Urban,Y
LP000301,Male,Yes,2,Graduate,,5030,1144,9,360,1.0,Rural,Y
LP000302,Male,Yes,0,Graduate,No,2467,923,9,360,1.0,Rural,Y
LP000303,Male,Yes,,Graduate,No,2115,1387,9,360,1.0,Urban,N
LP000304,Male,No,1,Not Graduate,Yes,3639,0,9,360,1.0,Semiurban,Y
LP000305,Male,No,1,Graduate,No,5218,0,9,180,0.0,Urban,Y
LP000306,Female,Yes,0,Graduate,Yes,2608,1820,9,240,0.0,Rural,N
LP000307,Male,No,0,Graduate,No,5648,0,9,120,0.0,Urban,N
LP000308,Male,Yes,0,Not Graduate,No,7126,2995,9,300,1.0,Urban,Y
LP000309,Male,No,0,Graduate,Yes,1720,0,9,300,1.0,Rural,N
LP000310,Male,No,1,Graduate,No,1804,0,9,360,1.0,Urban,Y
LP000311,Male,Yes,0,Graduate,No,2740,1515,9,300,1.0,Semiurban,Y
LP000312,Male,Yes,0,Not Graduate,No,3585,1023,9,360,1.0,Semiurban,Y
LP000313,Male,Yes,1,Graduate,No,2176,1318,9,360,1.0,Urban,N
LP000314,Female,Yes,0,Graduate,No,6709,1229,9,360,1.0,Semiurban,Y
LP000315,Female,Yes,0,Graduate,Yes,3844,3555,9,360,1.0,Semiurban,Y
LP000316,Male,Yes,0,Graduate,No,3052,566,,360,,Urban,Y
LP000317,Male,Yes,3+,Graduate,No,1259,727,9,480,1.0,Semiurban,Y
LP000318,Male,No,0,Graduate,No,1353,0,9,360,1.0,Rural,Y
LP000319,Male,No,2,Graduate,No,3528,0,9,360,1.0,Rural,Y
LP000320,Male,Yes,0,Graduate,No,829,2752,9,360,1.0,Urban,Y
LP000321,Male,Yes,0,Graduate,Yes,5473,5216,9,360,1.0,Urban,Y
LP000322,Male,Yes,1,Not Graduate,No,2711,971,9,360,,Urban,N
LP000323,Male,Yes,3+,Graduate,No,20865,2310,9,,,Urban,Y
LP000324,Male,No,1,Not Graduate,No,11905,0,9,360,1.0,Semiurban,Y
LP000325,Female,Yes,2,Graduate,Yes,2673,2449,9,360,,Semiurban,N
LP000326,Male,Yes,2,Graduate,No,2796,1571,9,180,,Urban,Y
LP000327,Male,Yes,0,Graduate,No,5417,1955,9,180,0.0,Urban,N
LP000328,Male,Yes,0,Graduate,No,8282,799,9,,0.0,Semiurban,Y
LP000329,Male,No,1,Graduate,No,1115,0,9,360,1.0,Semiurban,Y
LP000330,Male,No,0,Graduate,No,1020,0,9,360,1.0,Urban,Y
LP000331,Male,Yes,2,Graduate,No,2052,257,9,180,1.0,Semiurban,Y
